index,text,score,difficulty_score,difficulty_strategy,difficulty
55,"Singer/composer Bryan Adams contributes a slew of songs    a few potential hits, a few more simply intrusive to the story    but the whole package certainly captures the intended, er, spirit of the piece.",1,0.29700955748558044,roberta-mlm-loss,hard
56,You'd think by now America would have had enough of plucky British eccentrics with hearts of gold. Yet the act is still charming here.,1,0.0036538217682391405,roberta-mlm-loss,medium
57,"Whether or not you're enlightened by any of Derrida's lectures on ''the other'' and ''the self,'' Derrida is an undeniably fascinating and playful fellow.",1,0.0006884910399094224,roberta-mlm-loss,easy
58,"A pleasant enough movie, held together by skilled ensemble actors.",1,0.0005282942438498139,roberta-mlm-loss,easy
59,This is the best American movie about troubled teens since 1998's Whatever.,1,0.19094601273536682,roberta-mlm-loss,hard
60,Disney has always been hit or miss when bringing beloved kids' books to the screen...Tuck Everlasting is a little of both.,1,0.0012076044222339988,roberta-mlm-loss,easy
61,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing.,1,0.0028101084753870964,roberta-mlm-loss,medium
62,"The animated subplot keenly depicts the inner struggles of our adolescent heroes   insecure, uncontrolled, and intense.",1,0.008758614771068096,roberta-mlm-loss,medium
63,The invincible Werner Herzog is alive and well and living in LA,1,0.006149156950414181,roberta-mlm-loss,medium
64,"Morton is a great actress portraying a complex character, but Morvern Callar grows less compelling the farther it meanders from its shocking start.",-1,0.10832147300243378,roberta-mlm-loss,hard
65,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness.,1,0.0010101895313709974,roberta-mlm-loss,easy
66,Son of the Bride may be a good half hour too long but comes replete with a flattering sense of mystery and quietness.,1,0.02171565406024456,roberta-mlm-loss,hard
67,A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them.,1,0.00060044921701774,roberta-mlm-loss,easy
68,"A taut, intelligent psychological drama.",1,0.000470970495371148,roberta-mlm-loss,easy
69,"A truly moving experience, and a perfect example of how art    when done right    can help heal, clarify, and comfort.",1,0.07154592126607895,roberta-mlm-loss,hard
70,"This delicately observed story, deeply felt and masterfully stylized, is a triumph for its maverick director.",1,0.00036179073504172266,roberta-mlm-loss,easy
71,At heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance.,1,0.059651490300893784,roberta-mlm-loss,hard
72,"The appearance of Treebeard and Gollum's expanded role will either have you loving what you're seeing, or rolling your eyes. I loved it! Gollum's 'performance' is incredible!",1,0.003957720939069986,roberta-mlm-loss,medium
73,a screenplay more ingeniously constructed than ''Memento'',1,0.0005965335876680911,roberta-mlm-loss,easy
74,"If this movie were a book, it would be a page turner, you can't wait to see what happens next.",1,0.00016331952065229416,roberta-mlm-loss,easy
75,Haneke challenges us to confront the reality of sexual aberration.,1,0.002251391066238284,roberta-mlm-loss,medium
76,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",1,0.00010605733405100182,roberta-mlm-loss,easy
77,"Painful to watch, but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances.",1,0.000883627450093627,roberta-mlm-loss,easy
78,"This is a startling film that gives you a fascinating, albeit depressing view of Iranian rural life close to the Iraqi border.",1,0.0018026834586635232,roberta-mlm-loss,medium
79,"A few artsy flourishes aside, Narc is as gritty as a movie gets these days.",1,0.25411489605903625,roberta-mlm-loss,hard
80,"While The Isle is both preposterous and thoroughly misogynistic, its vistas are incredibly beautiful to look at.",1,0.0015608977992087603,roberta-mlm-loss,medium
81,"Together, Tok and O orchestrate a buoyant, darkly funny dance of death. In the process, they demonstrate that there's still a lot of life in Hong Kong cinema.",1,0.03443777933716774,roberta-mlm-loss,hard
82,"Director Kapur is a filmmaker with a real flair for epic landscapes and adventure, and this is a better film than his earlier English language movie, the overpraised Elizabeth.",1,0.0026071579195559025,roberta-mlm-loss,medium
83,"The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",1,0.022579723969101906,roberta-mlm-loss,hard
84,A sports movie with action that's exciting on the field and a story you care about off it.,1,0.0001682413276284933,roberta-mlm-loss,easy
85,"Doug Liman, the director of Bourne, directs the traffic well, gets a nice wintry look from his locations, absorbs us with the movie's spycraft and uses Damon's ability to be focused and sincere.",1,0.29572227597236633,roberta-mlm-loss,hard
86,The tenderness of the piece is still intact.,1,0.0002352031588088721,roberta-mlm-loss,easy
87,"Katz uses archival footage, horrifying documents of lynchings, still photographs and charming old reel to reel recordings of Meeropol entertaining his children to create his song history, but most powerful of all is the song itself",1,0.030025169253349304,roberta-mlm-loss,hard
88,"Like the film's almost anthropologically detailed realization of early '80s suburbia, it's significant without being overstated.",1,0.03297373652458191,roberta-mlm-loss,hard
89,While McFarlane's animation lifts the film firmly above the level of other coming of age films ... it's also so jarring that it's hard to get back into the boys' story.,-1,0.015066968277096748,roberta-mlm-loss,hard
90,"If nothing else, this movie introduces a promising, unusual kind of psychological horror.",1,0.001610541483387351,roberta-mlm-loss,medium
91,"In a normal screen process, these bromides would be barely enough to sustain an interstitial program on the Discovery Channel. But in Imax 3 D, the clichés disappear into the vertiginous perspectives opened up by the photography.",1,0.01947692036628723,roberta-mlm-loss,hard
92,Writer director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear.,1,0.1851075440645218,roberta-mlm-loss,hard
93,...a roller coaster ride of a movie,1,0.0009408104233443737,roberta-mlm-loss,easy
94,"I enjoyed Time of Favor while I was watching it, but I was surprised at how quickly it faded from my memory.",1,0.022245414555072784,roberta-mlm-loss,hard
95,"Chicago is sophisticated, brash, sardonic, completely joyful in its execution.",1,0.0041534206829965115,roberta-mlm-loss,medium
96,Steve Irwin's method is Ernest Hemmingway at accelerated speed and volume.,1,0.01662149466574192,roberta-mlm-loss,hard
97,A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters.,1,0.03275924548506737,roberta-mlm-loss,hard
98,"On the surface, it's a lovers on the run crime flick, but it has a lot in common with Piesiewicz's and Kieslowski's earlier work, films like The Double Life of Veronique.",1,0.1772824376821518,roberta-mlm-loss,hard
99,"The values that have held the Enterprise crew together through previous adventures and perils do so again courage, self sacrifice and patience under pressure.",1,0.2000746876001358,roberta-mlm-loss,hard
100,"If it's possible for a sequel to outshine the original, then SL2 does just that.",1,0.0076508536003530025,roberta-mlm-loss,medium
101,A romantic comedy that operates by the rules of its own self contained universe.,1,0.0001562546967761591,roberta-mlm-loss,easy
102,"4 friends, 2 couples, 2000 miles, and all the Pabst Blue Ribbon beer they can drink   it's the ultimate redneck road trip.",1,0.013559224084019661,roberta-mlm-loss,medium
103,The film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm,1,0.2640201151371002,roberta-mlm-loss,hard
104,"It might be tempting to regard Mr. Andrew and his collaborators as oddballs, but Mr. Earnhart's quizzical, charming movie allows us to see them, finally, as artists.",1,0.008343742229044437,roberta-mlm-loss,medium
105,A feel good picture in the best sense of the term.,1,0.006941006984561682,roberta-mlm-loss,medium
106,"Edited and shot with a syncopated style mimicking the work of his subjects, Pray turns the idea of the documentary on its head, making it rousing, invigorating fun lacking any MTV puffery.",1,0.08200926333665848,roberta-mlm-loss,hard
107,"A mostly intelligent, engrossing and psychologically resonant suspenser.",1,0.0018285298720002174,roberta-mlm-loss,medium
108,"It's this memory as identity obviation that gives Secret Life its intermittent unease, reaffirming that long held illusions are indeed reality, and that erasing them recasts the self.",1,0.03734736144542694,roberta-mlm-loss,hard
109,"Hip hop has a history, and it's a metaphor for this love story.",1,0.0004288681084290147,roberta-mlm-loss,easy
110,"In scope, ambition and accomplishment, Children of the Century ... takes Kurys' career to a whole new level.",1,0.014798112213611603,roberta-mlm-loss,hard
111,"This may not have the dramatic gut wrenching impact of other Holocaust films, but it's a compelling story, mainly because of the way it's told by the people who were there.",1,0.0008244370692409575,roberta-mlm-loss,easy
112,"Between the drama of Cube?s personal revelations regarding what the shop means in the big picture, iconic characters gambol fluidly through the story, with charming results.",1,0.0445687435567379,roberta-mlm-loss,hard
113,"A gentle, compassionate drama about grief and healing.",1,0.0003385931777302176,roberta-mlm-loss,easy
114,"Somewhere short of Tremors on the modern B scene: neither as funny nor as clever, though an agreeably unpretentious way to spend ninety minutes.",1,0.00840197317302227,roberta-mlm-loss,medium
115,Digital video documentary about stand up comedians is a great glimpse into a very different world.,1,0.10427239537239075,roberta-mlm-loss,hard
116,"Unlike most teen flicks, Swimming takes its time to tell its story, casts mostly little known performers in key roles, and introduces some intriguing ambiguity.",1,0.003356385510414839,roberta-mlm-loss,medium
117,"An enthralling, playful film that constantly frustrates our desire to know the 'truth' about this man, while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to.",1,0.003443672088906169,roberta-mlm-loss,medium
118,"''Extreme Ops'' exceeds expectations. Good fun, good action, good acting, good dialogue, good pace, good cinematography.",1,0.03919161111116409,roberta-mlm-loss,hard
119,You Should Pay Nine Bucks for This: Because you can hear about suffering Afghan refugees on the news and still be unaffected. Dramas like this make it human.,1,0.022657722234725952,roberta-mlm-loss,hard
120,"A thunderous ride at first, quiet cadences of pure finesse are few and far between; their shortage dilutes the potency of otherwise respectable action. Still, this flick is fun, and host to some truly excellent sequences.",1,0.21991798281669617,roberta-mlm-loss,hard
121,"It's obviously struck a responsive chord with many South Koreans, and should work its magic in other parts of the world.",1,0.4535738229751587,roberta-mlm-loss,hard
122,"Run, don't walk, to see this barbed and bracing comedy on the big screen.",1,0.0018837585812434554,roberta-mlm-loss,medium
123,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,1,0.007802935317158699,roberta-mlm-loss,medium
124,"It is nature against progress. In Fessenden's horror trilogy, this theme has proved important to him and is especially so in the finale.",1,0.002212970284745097,roberta-mlm-loss,medium
125,"It's not exactly a gourmet meal but the fare is fair, even coming from the drive thru.",1,0.0015750066377222538,roberta-mlm-loss,medium
126,"This is what IMAX was made for: Strap on a pair of 3 D goggles, shut out the real world, and take a vicarious voyage to the last frontier    space.",1,0.0015468925703316927,roberta-mlm-loss,medium
127,"Merely as a technical, logistical feat, Russian Ark marks a cinematic milestone.",1,0.0825701653957367,roberta-mlm-loss,hard
128,"(Schweiger is) talented and terribly charismatic, qualities essential to both movie stars and social anarchists.",1,0.012822536751627922,roberta-mlm-loss,medium
129,It's a great deal of sizzle and very little steak. But what spectacular sizzle it is!...In this incarnation its fizz is infectious.,1,0.028705259785056114,roberta-mlm-loss,hard
130,An original gem about an obsession with time.,1,0.010240833275020123,roberta-mlm-loss,medium
131,It will delight newcomers to the story and those who know it from bygone days.,1,0.0001396102597936988,roberta-mlm-loss,easy
132,Gloriously goofy (and gory) midnight movie stuff.,1,0.001323355594649911,roberta-mlm-loss,easy
133,The film overcomes the regular minefield of coming of age cliches with potent doses of honesty and sensitivity.,1,0.00230758311226964,roberta-mlm-loss,medium
134,"If your senses haven't been dulled by slasher films and gorefests, if you're a connoisseur of psychological horror, this is your ticket.",1,0.00021876183745916933,roberta-mlm-loss,easy
135,"It's a minor comedy that tries to balance sweetness with coarseness, while it paints a sad picture of the singles scene.",1,0.13635259866714478,roberta-mlm-loss,hard
136,It is intensely personal and yet    unlike Quills    deftly shows us the temper of the times.,1,0.4633888602256775,roberta-mlm-loss,hard
137,"As lo fi as the special effects are, the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten.",1,0.8761714696884155,roberta-mlm-loss,hard
138,"Like Mike doesn't win any points for originality. It does succeed by following a feel good formula with a winning style, and by offering its target audience of urban kids some welcome role models and optimism.",1,0.011830925941467285,roberta-mlm-loss,medium
139,"It's a hoot and a half, and a great way for the American people to see what a candidate is like when he's not giving the same 15 cent stump speech.",1,0.0075531923212111,roberta-mlm-loss,medium
140,"Far from perfect, but its heart is in the right place...innocent and well meaning.",1,0.002431159373372793,roberta-mlm-loss,medium
141,"A sad, superior human comedy played out on the back roads of life.",1,0.38565102219581604,roberta-mlm-loss,hard
142,"Waydowntown is by no means a perfect film, but its boasts a huge charm factor and smacks of originality.",1,0.007550406269729137,roberta-mlm-loss,medium
143,"Tim Allen is great in his role but never hogs the scenes from his fellow cast, as there are plenty of laughs and good lines for everyone in this comedy.",1,0.0022243214771151543,roberta-mlm-loss,medium
144,"More a load of enjoyable, Conan esque claptrap than the punishing, special effects soul assaults the Mummy pictures represent.",1,0.033167190849781036,roberta-mlm-loss,hard
145,"Enormously likable, partly because it is aware of its own grasp of the absurd.",1,0.0004936362383887172,roberta-mlm-loss,easy
146,"Here's a British flick gleefully unconcerned with plausibility, yet just as determined to entertain you.",1,0.001137622632086277,roberta-mlm-loss,easy
147,"It's an old story, but a lively script, sharp acting and partially animated interludes make Just a Kiss seem minty fresh.",1,0.001972699537873268,roberta-mlm-loss,medium
148,Must be seen to be believed.,1,0.001089966157451272,roberta-mlm-loss,easy
149,"Ray Liotta and Jason Patric do some of their best work in their underwritten roles, but don't be fooled: Nobody deserves any prizes here.",-1,0.004683040548115969,roberta-mlm-loss,medium
150,"Everything that has to do with Yvan and Charlotte, and everything that has to do with Yvan's rambunctious, Jewish sister and her non Jew husband, feels funny and true.",1,0.0024705524556338787,roberta-mlm-loss,medium
151,"The year's happiest surprise, a movie that deals with a real subject in an always surprising way.",1,0.15506812930107117,roberta-mlm-loss,hard
152,Fans of Behan's work and of Irish movies in general will be rewarded by Borstal Boy.,1,0.004907854832708836,roberta-mlm-loss,medium
153,"Its mysteries are transparently obvious, and it's too slowly paced to be a thriller. (But it's) worth recommending because of two marvelous performances by Michael Caine and Brendan Fraser.",1,0.009281727485358715,roberta-mlm-loss,medium
154,"The film is faithful to what one presumes are the book's twin premises    that we become who we are on the backs of our parents, but we have no idea who they were at our age; and that time is a fleeting and precious commodity no matter how old you are.",1,0.0018743667751550674,roberta-mlm-loss,medium
155,Stephen Earnhart's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens.,1,0.5131947994232178,roberta-mlm-loss,hard
156,A solidly seaworthy chiller.,1,0.0002430372405797243,roberta-mlm-loss,easy
157,If you can get past the fantastical aspects and harsh realities of ''The Isle'' you'll get a sock you in the eye flick that is a visual tour de force and a story that is unlike any you will likely see anywhere else.,1,0.07947228848934174,roberta-mlm-loss,hard
158,"There are as many misses as hits, but ultimately, it finds humor in the foibles of human behavior, and it's a welcome return to the roots of a genre that should depend on surprises.",1,0.008399526588618755,roberta-mlm-loss,medium
159,A well made thriller with a certain level of intelligence and non reactionary morality.,1,0.0028208806179463863,roberta-mlm-loss,medium
160,"There's enough science to make it count as educational, and enough beauty to make it unforgettable.",1,0.004321874585002661,roberta-mlm-loss,medium
161,"Remains a solid, if somewhat heavy handed, account of the near disaster...done up by Howard with a steady, if not very imaginative, hand.",1,0.0008080604020506144,roberta-mlm-loss,easy
162,Makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the Kurdish refugees of Iran's borderlands.,1,0.0071244072169065475,roberta-mlm-loss,medium
163,"For a good chunk of its running time, Trapped is an effective and claustrophobic thriller.",1,0.00013204553397372365,roberta-mlm-loss,easy
164,Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness.,1,0.02390252612531185,roberta-mlm-loss,hard
165,Nair does capture the complexity of a big family and its trials and tribulations...,1,0.0028245265129953623,roberta-mlm-loss,medium
166,"The seaside splendor and shallow, beautiful people are nice to look at while you wait for the story to get going.",1,0.015158835798501968,roberta-mlm-loss,hard
167,Rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie.,1,0.010514465160667896,roberta-mlm-loss,medium
168,Ranks among Willams' best screen work.,1,0.04758496955037117,roberta-mlm-loss,hard
169,Engagingly captures the maddening and magnetic ebb and flow of friendship.,1,0.007096553687006235,roberta-mlm-loss,medium
170,An experience so engrossing it is like being buried in a new environment.,1,0.0015364366117864847,roberta-mlm-loss,easy
171,"It's traditional moviemaking all the way, but it's done with a lot of careful period attention as well as some very welcome wit.",1,0.013300961814820766,roberta-mlm-loss,medium
172,"Maybe it's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly, Analyze That really isn't all that bad.",1,0.009713876061141491,roberta-mlm-loss,medium
173,"A droll, well acted, character driven comedy with unexpected deposits of feeling.",1,0.8557403683662415,roberta-mlm-loss,hard
174,This is simply the most fun you'll ever have with a documentary!,1,0.0015644312370568514,roberta-mlm-loss,medium
175,A very funny movie.,1,0.00011562027793843299,roberta-mlm-loss,easy
176,"Watching Haneke's film is, aptly enough, a challenge and a punishment. But watching Huppert, a great actress tearing into a landmark role, is riveting.",1,0.026200024411082268,roberta-mlm-loss,hard
177,A cop story that understands the medium amazingly well.,1,0.003070930717512965,roberta-mlm-loss,medium
178,"Britney has been delivered to the big screen safe and sound, the way we like our 20 year old superstar girls to travel on the fame freeway.",1,0.4261252284049988,roberta-mlm-loss,hard
179,Those outside show business will enjoy a close look at people they don't really want to know.,1,0.0018543265759944916,roberta-mlm-loss,medium
180,Watching Beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it.,1,0.0016542567173019052,roberta-mlm-loss,medium
181,"Children may not understand everything that happens    I'm not sure even Miyazaki himself does    but they will almost certainly be fascinated, and undoubtedly delighted.",1,0.00034606122062541544,roberta-mlm-loss,easy
182,A fascinating and fun film.,1,0.00020866328850388527,roberta-mlm-loss,easy
183,"Tadpole is a sophisticated, funny and good natured treat, slight but a pleasure.",1,0.00873118918389082,roberta-mlm-loss,medium
184,"This insightful, Oscar nominated documentary, in which children on both sides of the ever escalating conflict have their say away from watchful parental eyes, gives peace yet another chance.",1,0.00033735905890353024,roberta-mlm-loss,easy
185,I admired this work a lot.,1,0.0010310105280950665,roberta-mlm-loss,easy
186,"Whether you're moved and love it, or bored or frustrated by the film, you'll still feel something.",1,0.00038398345350287855,roberta-mlm-loss,easy
187,...there are enough moments of heartbreaking honesty to keep one glued to the screen.,1,0.0009243222884833813,roberta-mlm-loss,easy
188,"My goodness, Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts. She must have a very strong back.",1,0.001088585122488439,roberta-mlm-loss,easy
189,"A smart, sweet and playful romantic comedy.",1,0.0002454094064887613,roberta-mlm-loss,easy
190,Australian actor/director John Polson and award winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation.,1,0.049206361174583435,roberta-mlm-loss,hard
191,"Without heavy handedness, Dong provides perspective with his intelligent grasp of human foibles and contradictions.",1,0.008559566922485828,roberta-mlm-loss,medium
192,"Solid, lump in the throat family entertainment that derives its power by sticking to the facts.",1,0.0015402794815599918,roberta-mlm-loss,easy
193,"As an entertainment, the movie keeps you diverted and best of all, it lightens your wallet without leaving a sting.",1,0.5007862448692322,roberta-mlm-loss,hard
194,It is interesting and fun to see Goodall and her chimpanzees on the bigger than life screen.,1,0.19411535561084747,roberta-mlm-loss,hard
195,"A somewhat crudely constructed but gripping, questing look at a person so racked with self loathing, he becomes an enemy to his own race.",1,0.17745722830295563,roberta-mlm-loss,hard
196,"It extends the writings of Jean Genet and John Rechy, the films of Fassbinder, perhaps even the nocturnal works of Goya.",1,0.05929899588227272,roberta-mlm-loss,hard
197,"Narc may not get an 'A' for originality, but it wears its B movie heritage like a badge of honor.",1,0.008084713481366634,roberta-mlm-loss,medium
198,"With the film's striking ending, one realizes that we have a long way to go before we fully understand all the sexual permutations involved.",1,0.00017564697191119194,roberta-mlm-loss,easy
199,"(Drumline) is entertaining for what it does, and admirable for what it doesn't do.",1,0.0027309488505125046,roberta-mlm-loss,medium
200,At its best early on as it plays the culture clashes between the brothers.,1,0.010869423858821392,roberta-mlm-loss,medium
201,An unabashedly schmaltzy and thoroughly enjoyable true story.,1,0.00041009107371792197,roberta-mlm-loss,easy
202,A thoughtful look at a painful incident that made headlines in 1995.,1,0.011124270036816597,roberta-mlm-loss,medium
203,You walk out of The Good Girl with mixed emotions    disapproval of Justine combined with a tinge of understanding for her actions.,1,0.009007091633975506,roberta-mlm-loss,medium
204,Tsai Ming liang has taken his trademark style and refined it to a crystalline point.,1,0.507344126701355,roberta-mlm-loss,hard
205,"Purely propaganda, a work of unabashed hero worship, it is nonetheless    and likely inadvertently    a timely and invaluable implicit reminder of the role that U.S. foreign policy has played in the rise of Castro.",1,0.035764437168836594,roberta-mlm-loss,hard
206,"Now trimmed by about 20 minutes, this lavish three year old production has enough grandeur and scale to satisfy as grown up escapism.",1,0.009363703429698944,roberta-mlm-loss,medium
207,We get some truly unique character studies and a cross section of Americana that Hollywood couldn't possibly fictionalize and be believed.,1,0.010276231914758682,roberta-mlm-loss,medium
208,"Though this film can be clumsy, its ambitions are equally    and admirably    uncommercial.",1,0.003818476339802146,roberta-mlm-loss,medium
